iter	Passed	Remaining
0	160	160162
1	167	83788
2	175	58446
3	183	45650
4	190	37917
5	197	32740
6	204	29055
7	211	26280
8	219	24123
9	226	22377
10	233	21001
11	241	19908
12	249	18914
13	256	18045
14	263	17281
15	269	16598
16	276	16008
17	283	15459
18	290	14981
19	297	14556
20	303	14151
21	310	13807
22	317	13476
23	324	13212
24	332	12981
25	340	12772
26	348	12546
27	355	12347
28	363	12164
29	371	11997
30	377	11814
31	385	11651
32	392	11501
33	399	11364
34	407	11248
35	415	11118
36	422	10990
37	429	10876
38	436	10762
39	444	10665
40	451	10565
41	458	10467
42	466	10376
43	473	10286
44	480	10201
45	487	10115
46	494	10034
47	502	9963
48	509	9891
49	517	9824
50	523	9750
51	531	9684
52	538	9625
53	546	9575
54	554	9523
55	561	9465
56	568	9412
57	576	9358
58	583	9304
59	591	9260
60	598	9216
61	606	9170
62	613	9120
63	620	9067
64	627	9021
65	634	8972
66	641	8932
67	648	8893
68	656	8863
69	664	8830
70	672	8801
71	680	8769
72	688	8739
73	695	8708
74	703	8678
75	711	8649
76	718	8615
77	726	8586
78	734	8562
79	742	8534
80	749	8507
81	757	8475
82	764	8450
83	772	8425
84	780	8400
85	788	8375
86	795	8352
87	803	8331
88	812	8313
89	820	8293
90	828	8272
91	835	8250
92	843	8227
93	851	8206
94	859	8183
95	866	8160
96	874	8136
97	882	8120
98	889	8097
99	897	8074
100	904	8049
101	911	8024
102	918	8001
103	926	7981
104	934	7961
105	941	7939
106	948	7919
107	956	7897
108	963	7876
109	971	7861
110	979	7841
111	986	7820
112	994	7803
113	1001	7784
114	1009	7767
115	1017	7751
116	1025	7741
117	1033	7726
118	1041	7710
119	1048	7692
120	1056	7678
121	1064	7661
122	1072	7648
123	1080	7631
124	1087	7612
125	1095	7597
126	1102	7581
127	1109	7559
128	1116	7537
129	1122	7514
130	1130	7496
131	1137	7481
132	1145	7465
133	1153	7452
134	1161	7439
135	1168	7420
136	1175	7401
137	1181	7381
138	1189	7365
139	1196	7350
140	1204	7335
141	1211	7321
142	1219	7309
143	1227	7295
144	1234	7280
145	1242	7268
146	1250	7253
147	1257	7241
148	1265	7226
149	1272	7209
150	1279	7192
151	1285	7172
152	1292	7154
153	1299	7136
154	1306	7121
155	1314	7109
156	1321	7096
157	1329	7083
158	1336	7069
159	1344	7060
160	1352	7049
161	1360	7038
162	1368	7026
163	1375	7013
164	1383	6999
165	1390	6987
166	1398	6975
167	1406	6964
168	1414	6953
169	1421	6941
170	1428	6925
171	1435	6909
172	1442	6894
173	1449	6882
174	1457	6871
175	1465	6862
176	1474	6853
177	1481	6843
178	1488	6828
179	1496	6818
180	1504	6807
181	1511	6792
182	1517	6776
183	1525	6763
184	1532	6749
185	1539	6737
186	1547	6726
187	1554	6715
188	1561	6701
189	1568	6687
190	1575	6671
191	1581	6656
192	1589	6645
193	1596	6634
194	1604	6623
195	1612	6613
196	1619	6602
197	1627	6590
198	1635	6581
199	1642	6571
200	1650	6561
201	1658	6550
202	1665	6540
203	1673	6531
204	1681	6520
205	1691	6518
206	1698	6506
207	1706	6498
208	1714	6488
209	1721	6475
210	1728	6462
211	1735	6449
212	1741	6436
213	1748	6423
214	1756	6412
215	1763	6400
216	1770	6387
217	1776	6374
218	1784	6362
219	1792	6353
220	1799	6344
221	1807	6332
222	1815	6325
223	1823	6315
224	1830	6304
225	1837	6294
226	1845	6285
227	1853	6276
228	1860	6265
229	1868	6256
230	1875	6244
231	1882	6232
232	1890	6223
233	1897	6213
234	1905	6202
235	1912	6192
236	1920	6182
237	1927	6172
238	1935	6163
239	1943	6153
240	1950	6144
241	1957	6132
242	1965	6121
243	1972	6111
244	1979	6100
245	1986	6088
246	1993	6078
247	2001	6069
248	2008	6059
249	2016	6050
250	2024	6040
251	2031	6030
252	2039	6021
253	2047	6012
254	2054	6002
255	2062	5993
256	2070	5985
257	2077	5974
258	2085	5965
259	2091	5953
260	2098	5942
261	2105	5931
262	2112	5920
263	2120	5910
264	2127	5900
265	2134	5889
266	2142	5881
267	2150	5872
268	2157	5863
269	2165	5854
270	2172	5844
271	2180	5835
272	2187	5825
273	2195	5817
274	2202	5807
275	2210	5798
276	2217	5787
277	2224	5776
278	2231	5766
279	2238	5756
280	2245	5746
281	2253	5737
282	2260	5727
283	2267	5716
284	2274	5707
285	2282	5697
286	2288	5685
287	2295	5674
288	2301	5662
289	2308	5651
290	2315	5640
291	2321	5628
292	2328	5619
293	2335	5608
294	2342	5598
295	2349	5588
296	2356	5578
297	2363	5567
298	2370	5557
299	2378	5548
300	2385	5540
301	2393	5531
302	2400	5522
303	2407	5512
304	2415	5505
305	2423	5496
306	2430	5485
307	2437	5476
308	2444	5467
309	2452	5458
